Location name,Product name,Net Retail Product Sales,Product Quantity Sold
All,All,636915.73,39974.0
Rella Aesthetics - Napa,All,112111.66,5847.0
Rella Aesthetics - Napa,Tirzepatide 3X Months Supply,1400.0,1.0
Rella Aesthetics - Napa,Tirzepatide 1x Single Dose,3925.0,8.0
Rella Aesthetics - Napa,Tirzepatide 1x Month,1825.0,3.0
Rella Aesthetics - Napa,Tinted Defense,100.0,3.0
Rella Aesthetics - Napa,Skincare Kit,384.0,13.0
Rella Aesthetics - Napa,Sheer Defense,156.0,4.0
Rella Aesthetics - Napa,Semaglutide x6 month Supply,2450.0,1.0
Rella Aesthetics - Napa,Semaglutide x3 Month Supply,32108.0,29.0
Rella Aesthetics - Napa,Semaglutide x1 Month Supply,8597.5,21.0
Rella Aesthetics - Napa,Sculptra,4000.0,8.0
Rella Aesthetics - Napa,Restylane Refyne,500.0,1.0
Rella Aesthetics - Napa,Restylane L,850.0,2.0
Rella Aesthetics - Napa,Restylane Kysse,4285.0,8.0
Rella Aesthetics - Napa,Radiant Glow Lactic Acid,40.0,1.0
Rella Aesthetics - Napa,Powder Defense,55.0,1.0
Rella Aesthetics - Napa,Phyto Balance,162.5,3.0
Rella Aesthetics - Napa,Lipid Cloud,551.2,6.0
Rella Aesthetics - Napa,Kybella,1350.0,4.0
Rella Aesthetics - Napa,Juvederm Voluma XC,5950.0,16.0
Rella Aesthetics - Napa,Juvederm Vollure XC,615.0,2.0
Rella Aesthetics - Napa,Juvederm Volbella XC,500.0,1.0
Rella Aesthetics - Napa,Juvederm Ultra XC .55mL,450.0,1.0
Rella Aesthetics - Napa,Juvederm Ultra XC,1200.0,3.0
Rella Aesthetics - Napa,Juvederm Ultra Plus 1ML,600.0,1.0
Rella Aesthetics - Napa,Jelly mask,0.0,1.0
Rella Aesthetics - Napa,Hydroquinone Powder,60.0,10.0
Rella Aesthetics - Napa,Hydrfacial Lip Perk,40.0,2.0
Rella Aesthetics - Napa,Hydrafacial Perk Eye,40.0,1.0
Rella Aesthetics - Napa,Dysport,10955.26,3282.0
Rella Aesthetics - Napa,Complexion Gly-Sal Pads,323.0,9.0
Rella Aesthetics - Napa,C02 Mask,6622.0,66.0
Rella Aesthetics - Napa,Brightening Even Skin Tone Pads,82.0,6.0
Rella Aesthetics - Napa,Botox,21565.0,2321.0
Rella Aesthetics - Napa,BodySculpt' Contouring x6 Packages,0.0,1.0
Rella Aesthetics - Napa,Blemish Corrective Treatment Serum,100.0,3.0
Rella Aesthetics - Napa,Aquaglow Hyaluronic Acid,186.2,2.0
Rella Aesthetics - Napa,AHA / BHA Exfoliating Polish,84.0,2.0
Rella Aesthetics,All,524804.07,34127.0
Rella Aesthetics,semaglutide single injection,3875.0,31.0
Rella Aesthetics,Triple Lipid Restore 2:4:2,300.0,2.0
Rella Aesthetics,Tox 12 month Membership,6430.0,28.0
Rella Aesthetics,Tox & Filler 12 month Membership,3070.0,8.0
Rella Aesthetics,Tox & Filler 12 Month $480.00,440.0,1.0
Rella Aesthetics,Tirzepatide 3X Months Supply,9852.92,6.0
Rella Aesthetics,Tirzepatide 1x Single Dose,1575.0,9.0
Rella Aesthetics,Tirzepatide 1x Month,11675.0,18.0
Rella Aesthetics,Tinted Defense,108.0,3.0
Rella Aesthetics,Soothing Essence Mist,9.0,1.0
Rella Aesthetics,Soothing Cleanser,240.0,6.0
Rella Aesthetics,Skincare Kit,87.0,10.0
Rella Aesthetics,Simply Clean,300.3,9.0
Rella Aesthetics,Silymarin CF,1255.8,7.0
Rella Aesthetics,Sheer Defense,78.0,2.0
Rella Aesthetics,Semaglutide x6 month Supply,21450.0,9.0
Rella Aesthetics,Semaglutide x3 Month Supply,94503.0,80.0
Rella Aesthetics,Semaglutide x1 Month Supply,29343.75,66.0
Rella Aesthetics,Sculptra,16150.0,27.0
Rella Aesthetics,Retinol PM Treatment Serum 5x,100.8,2.0
Rella Aesthetics,Retinol + Niacinamide Nourishing PM Eye Cream,302.4,3.0
Rella Aesthetics,Restylane Refyne,2400.0,5.0
Rella Aesthetics,Restylane Lyft,7480.0,19.0
Rella Aesthetics,Restylane L,8850.0,21.0
Rella Aesthetics,Restylane Kysse,8710.0,14.0
Rella Aesthetics,Restylane Eyelight,3480.0,11.0
Rella Aesthetics,Restylane Defyne,18850.0,41.0
Rella Aesthetics,Restylane Contour,19517.0,40.0
Rella Aesthetics,Radiant Glow Lactic Acid,324.0,4.0
Rella Aesthetics,Plump It! SPF 30,351.0,8.0
Rella Aesthetics,Phyto Balance,188.5,3.0
Rella Aesthetics,P-TIOX,1169.2,8.0
Rella Aesthetics,Micro Exfoliating Scrub,101.5,3.0
Rella Aesthetics,Membership fee corrections,50.0,1.0
Rella Aesthetics,Lipid Cloud,1237.6,14.0
Rella Aesthetics,Kybella,4080.0,9.0
Rella Aesthetics,Juvederm Volux XC,12280.0,22.0
Rella Aesthetics,Juvederm Voluma XC,17640.0,37.0
Rella Aesthetics,Juvederm Vollure XC,6700.0,13.0
Rella Aesthetics,Juvederm Volbella XC,4970.0,9.0
Rella Aesthetics,Juvederm Ultra XC .55mL,4730.0,12.0
Rella Aesthetics,Juvederm Ultra XC,10770.0,22.0
Rella Aesthetics,Juvederm Ultra Plus 1ML,3960.0,8.0
Rella Aesthetics,Hydroquinone Powder,846.0,43.0
Rella Aesthetics,Hydrating B5 Gel,90.0,1.0
Rella Aesthetics,HA Intensifier Multi-Glycan,120.0,1.0
Rella Aesthetics,Glycolic 10 Renew Overnight,96.0,1.0
Rella Aesthetics,Filler 12x Month Membership,720.0,2.0
Rella Aesthetics,Dysport,74424.35,22161.0
Rella Aesthetics,Dual Active Phyto GF,612.5,5.0
Rella Aesthetics,Discoloration Defense,330.0,3.0
Rella Aesthetics,Complexion Gly-Sal Pads,91.2,3.0
Rella Aesthetics,Cancellation/No Show Fee,737.75,17.0
Rella Aesthetics,C E Ferulic,1710.8,10.0
Rella Aesthetics,Brightening Even Skin Tone Pads,1557.2,20.0
Rella Aesthetics,Botox,102877.4,11181.0
Rella Aesthetics,Blemish + Age Defense,318.0,3.0
Rella Aesthetics,Biocellulose Restorative Masque,54.0,3.0
Rella Aesthetics,Aquaglow Hyaluronic Acid,494.9,7.0
Rella Aesthetics,AHA / BHA Exfoliating Polish,739.2,14.0
