selected,Date,Type,No.,Payee,Category,Total,Approval Status,Action
,12/12/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,12/12/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,12/03/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-7515.3,,
,12/03/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,12/03/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-3000,,
,11/29/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,11/25/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,11/17/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,11/17/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,11/11/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-8000,,
,11/07/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-5000,,
,11/01/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,10/29/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,10/29/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,10/22/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-9108.05,,
,10/20/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,10/17/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,10/11/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,10/08/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#5011,-10000,,
,10/10/2024,Credit Card Credit,,Wells Fargo CC,WF Checking#1926,-10000,,
,12/18/2024,Credit Card Credit,,,Wells Fargo #8495 @napa,-10000,,
,04/11/2025,Expense,,PG & E Utilities (Gas & Electric),Utilities,1138.75,,
,04/11/2025,Expense,,Primo Water,--Split--,40.95,,
,04/09/2025,Expense,,PG & E Utilities (Gas & Electric),Utilities,330.61,,
,04/07/2025,Expense,,PG & E Utilities (Gas & Electric),Utilities,1138.75,,
,04/01/2025,Expense,,City of Napa Collections (waste),--Split--,144.09,,
,03/14/2025,Expense,,Primo Water,--Split--,77.41,,
,03/13/2025,Expense,,PG & E Utilities (Gas & Electric),Utilities,1498.65,,
,03/11/2025,Expense,,PG & E Utilities (Gas & Electric),Utilities,449.66,,
,03/05/2025,Expense,,City of Napa Collections (waste),--Split--,144.09,,
,02/20/2025,Expense,,Recology Vacaville Solano,--Split--,541,,
