QuantityAdjustment id,Location Name,Brand Name,Product Name,Adjustment Reason,Product Quantity Change,Inventory Adjustment Cost
All,,,,,-2784.0,-15426.5
01e77f98-3cbf-4b4c-9a04-d617d2d34aad,Rella Aesthetics,Botox,Botox,sale,-14.0,-88.76
0223563b-a7ba-4e67-af73-fd9ed5edefae,Rella Aesthetics,Botox,Botox,sale,-3.0,-19.02
0510516f-23bf-46c3-9bb6-d273ed15f2c5,Rella Aesthetics,Botox,Botox,sale,-6.0,-38.04
073b4037-0c8d-4099-aeee-691e09298d98,Rella Aesthetics,,Semaglutide x3 Month Supply,sale,-1.0,-300.0
0ac4f9fd-3647-432f-83c0-1315b7038b79,Rella Aesthetics - Napa,,Juvederm Ultra XC,sale,-1.0,0.0
0b1695f6-c2d4-460d-a116-077af5c7617f,Rella Aesthetics - Napa,,Tirzepatide 3X Months Supply,sale,-1.0,-750.0
0c88a62b-913e-45e2-ab39-59e73250f36f,Rella Aesthetics,Botox,Botox,sale,-52.0,-329.68
0cb3ca10-cf76-4c01-8ae9-b3246f890fa7,Rella Aesthetics,Galderma,Restylane Contour,recount,6.0,0.0
0ea7d55b-e87a-48f2-9936-d778059fbd78,Rella Aesthetics,Botox,Botox,sale,-40.0,-253.6
0f19688f-bc6a-498d-8a2e-615504b85fc9,Rella Aesthetics,SkinCeuticals,C E Ferulic,sale,-1.0,-91.0
165ae182-0fd1-464c-8066-84a25122efda,Rella Aesthetics,,Kybella,sale,-1.0,0.0
1a5f3bad-6728-45ee-b115-3ed5d26c0480,Rella Aesthetics,Botox,Botox,sale,-60.0,-380.4
1df701f8-9e00-4ca7-a201-e2f14d958805,Rella Aesthetics,Botox,Botox,sale,-9.0,-57.06
1f40c491-1645-4bcf-a981-82b9a93abfb2,Rella Aesthetics,Botox,Botox,sale,-30.0,-190.2
1f9dc141-6de4-4873-9195-fc5ab0d3e1f4,Rella Aesthetics,Botox,Botox,sale,-88.0,-557.92
200522ad-cfe9-4fc9-b1b7-6161cf010d01,Rella Aesthetics - Napa,,Kybella,recount,8.0,0.0
24444e33-564e-43a4-a4b1-0706ecad68a5,Rella Aesthetics,Botox,Botox,sale,-24.0,-152.16
24961f65-2372-4673-95cb-e398b5850665,Rella Aesthetics,,Laser Hair Removal - Upper/ Lower Face Area Package,sale,-1.0,0.0
26417a2a-c967-4d04-8fca-cb32f98b11d0,Rella Aesthetics,,Sculptra,recount,10.0,0.0
28a32b0e-3452-4896-9c32-d8c1ba4aeed5,Rella Aesthetics,,Juvederm Ultra XC,sale,-1.0,0.0
29136680-b8fe-4e3c-8a4f-675c0f39e0f1,Rella Aesthetics,Galderma,Dysport,sale,-48.0,-96.0
2c76bf7d-06f8-4486-81ab-f2d49b9ac351,Rella Aesthetics,Botox,Botox,sale,-6.0,-38.04
2d0e2d42-c757-4055-ba3d-cc1096fe2e61,Rella Aesthetics,Galderma,Restylane Lyft,received,2.0,0.0
2e24d826-c871-41f2-8229-dbb353468cf4,Rella Aesthetics,Botox,Botox,sale,-31.0,-196.54
2f3ed3ef-ecd9-4310-8b1a-6bf69439fa49,Rella Aesthetics,Rella Skincare,Lipid Cloud,sale,-1.0,-52.0
34f943c8-1eb6-457a-b7ca-fbd24b906c4b,Rella Aesthetics,Botox,Botox,sale,-6.0,-38.04
355a5f2c-979d-4403-b0cd-f9a92d5801bd,Rella Aesthetics,Galderma,Restylane Eyelight,recount,2.0,0.0
38d926f9-1350-42d5-bfcf-40b1a10d7048,Rella Aesthetics,Galderma,Restylane Contour,received,4.0,0.0
3961fe1f-0977-4ba0-a6bb-358c316f6404,Rella Aesthetics,SkinCeuticals,Triple Lipid Restore 2:4:2,received,3.0,225.0
3a5b72fd-0a92-47ed-a4c2-204271c2f950,Rella Aesthetics,Botox,Botox,sale,-3.0,-19.02
3c4482ed-bb7d-4c69-8f40-04fd70ce4cad,Rella Aesthetics,Botox,Botox,sale,-38.0,-240.92
